PREF_NAME,CITY_NAME,S_NAME,AREA,JINKO,SETAI,X_CODE,Y_CODE,SUPPORT_NEEDS
静岡県,御前崎市,池新田,5630.589,32,16,138.132442,34.638104,0
静岡県,御前崎市,池新田東町,1970436.855,1765,805,138.134523,34.635487,17
静岡県,御前崎市,池新田本町,865359.007,1498,560,138.129131,34.637452,14
静岡県,御前崎市,池新田早苗町,578339.237,648,247,138.132009,34.65283,6
静岡県,御前崎市,池新田中町,1404447.519,2239,1014,138.125526,34.641761,22
静岡県,御前崎市,池新田大山,3325988.34,2964,1158,138.118303,34.645016,29
静岡県,御前崎市,門屋,2255632.995,779,244,138.106726,34.657633,8
静岡県,御前崎市,門屋七ツ山,582348.673,289,112,138.110865,34.642494,3
静岡県,御前崎市,塩原新田,3186376.616,1370,493,138.100812,34.644858,13
静岡県,御前崎市,合戸,2425782.682,705,229,138.086137,34.650079,7
静岡県,御前崎市,佐倉佐倉一区,1630944.683,1538,618,138.164584,34.627859,15
静岡県,御前崎市,佐倉佐倉二区,1789350.856,1255,615,138.155029,34.624725,12
静岡県,御前崎市,佐倉佐倉三区,649825.348,507,196,138.151755,34.636853,5
静岡県,御前崎市,佐倉桜ケ池,3842297.787,922,469,138.143556,34.634048,9
静岡県,御前崎市,宮内,1184964.46,350,110,138.154465,34.642359,3
静岡県,御前崎市,比木上比木,8693.789,0,0,138.164508,34.650009,0
静岡県,御前崎市,比木比木原,2326975.988,256,81,138.16342,34.664228,2
静岡県,御前崎市,比木上比木,2889275.06,504,156,138.171547,34.657758,5
静岡県,御前崎市,比木下比木,2701208.474,620,205,138.15932,34.647604,6
静岡県,御前崎市,上朝比奈,4194802.642,461,164,138.154376,34.675424,4
静岡県,御前崎市,上朝比奈朝比奈原,2971439.418,579,162,138.157791,34.686185,6
静岡県,御前崎市,下朝比奈,4118385.122,909,265,138.139222,34.667793,9
静岡県,御前崎市,新野新野西,1417537.608,537,175,138.113065,34.668706,5
静岡県,御前崎市,新野新野東,3423729.302,455,148,138.126534,34.688454,4
静岡県,御前崎市,新野新野南,3724163.515,473,138,138.128174,34.675076,5
静岡県,御前崎市,御前崎上岬区,577842.889,681,220,138.22441,34.597825,7
静岡県,御前崎市,御前崎下岬区,801822.061,562,171,138.228386,34.603635,5
静岡県,御前崎市,御前崎大山区,565017.521,1145,358,138.218102,34.601929,11
静岡県,御前崎市,御前崎西側区,437779.255,784,261,138.213365,34.604485,8
静岡県,御前崎市,御前崎女岩区,266956.902,634,207,138.211053,34.610374,6
静岡県,御前崎市,御前崎広沢区,556916.091,652,245,138.207645,34.604053,6
静岡県,御前崎市,白羽新谷区,1017644.224,1249,415,138.202093,34.615767,12
静岡県,御前崎市,白羽薄原区,733452.247,1028,342,138.202189,34.606568,10
静岡県,御前崎市,白羽中原区,1107416.955,473,156,138.195022,34.60712,5
静岡県,御前崎市,白羽白羽区,1679498.509,1026,335,138.187681,34.612479,10
静岡県,御前崎市,白羽白浜区,1449340.551,640,212,138.18034,34.616828,6
静岡県,御前崎市,白羽新神子区,1710281.726,574,198,138.169207,34.61646,6
静岡県,御前崎市,港,1311976.395,0,0,138.210325,34.615693,0
静岡県,御前崎市,港,3131504.96,0,0,138.225147,34.616744,0
